canonical_name,source_dir,source_root,status,has_prun_xtc,sim_ns,sim_ns_source
POPC75_DPPE25,POPC75_DPPE25,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC75_POPE25,POPC75_POPE25,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC80_CHOL20,POPC80_CHOL20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC80_DIPC20,POPC80_DIPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC80_DOPC20,POPC80_DOPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC80_DOPE20,POPC80_DOPE20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC80_DPPC20,POPC80_DPPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC80_DPPE20,POPC80_DPPE20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC80_POPE20,POPC80_POPE20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC85_CHOL15,POPC85_CHOL15,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC85_DOPE15,POPC85_DOPE15,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC85_DPPE15,POPC85_DPPE15,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC85_POPE15,POPC85_POPE15,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC90_CHOL10,POPC90_CHOL10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC90_DIPC10,POPC90_DIPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC90_DOPC10,POPC90_DOPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC90_DOPE10,POPC90_DOPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC90_DOPS10,POPC90_DOPS10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC90_DPPC10,POPC90_DPPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC90_DPPE10,POPC90_DPPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC90_POPE10,POPC90_POPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC90_POPS10,POPC90_POPS10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC92_DOPS8,POPC92_DOPS8,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC92_POPS8,POPC92_POPS8,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC94_DOPS6,POPC94_DOPS6,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC94_POPS6,POPC94_POPS6,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC95_CHOL5,POPC95_CHOL5,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC95_DOPE5,POPC95_DOPE5,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC95_DPPE5,POPC95_DPPE5,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC95_POPE5,POPC95_POPE5,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC96_DOPS4,POPC96_DOPS4,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC96_POPS4,POPC96_POPS4,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC98_DOPS2,POPC98_DOPS2,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
POPC98_POPS2,POPC98_POPS2,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true,1000.200,actual
DIPC50_DOPC50,DIPC50_DOPC50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DIPC50_DPPC50,DIPC50_DPPC50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC50_DOPE50,DOPC50_DOPE50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC50_DPPC50,DOPC50_DPPC50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC50_DPPE50,DOPC50_DPPE50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC50_POPE50,DOPC50_POPE50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC60_DIPC40,DOPC60_DIPC40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC60_DOPE40,DOPC60_DOPE40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC60_DPPC40,DOPC60_DPPC40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC60_DPPE40,DOPC60_DPPE40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC60_POPE40,DOPC60_POPE40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC70_DIPC30,DOPC70_DIPC30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC70_DOPE30,DOPC70_DOPE30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC70_DPPC30,DOPC70_DPPC30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC70_DPPE30,DOPC70_DPPE30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC70_POPE30,DOPC70_POPE30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC80_DIPC20,DOPC80_DIPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC80_DOPE20,DOPC80_DOPE20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC80_DPPC20,DOPC80_DPPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC80_DPPE20,DOPC80_DPPE20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC80_POPE20,DOPC80_POPE20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC90_DIPC10,DOPC90_DIPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC90_DOPE10,DOPC90_DOPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC90_DPPC10,DOPC90_DPPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC90_DPPE10,DOPC90_DPPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPC90_POPE10,DOPC90_POPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPE50_DPPC50,DOPE50_DPPC50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPE50_POPC50,DOPE50_POPC50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPE60_POPC40,DOPE60_POPC40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPE70_POPC30,DOPE70_POPC30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPE80_POPC20,DOPE80_POPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPE90_POPC10,DOPE90_POPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPS50_POPC50,DOPS50_POPC50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPS60_POPC40,DOPS60_POPC40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPS70_POPC30,DOPS70_POPC30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPS80_POPC20,DOPS80_POPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DOPS90_POPC10,DOPS90_POPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC50_DPPE50,DPPC50_DPPE50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
