canonical_name,source_dir,source_root,status,has_prun_xtc
POPC85_DOPE15,POPC85_DOPE15,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC85_DPPE15,POPC85_DPPE15,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC85_POPE15,POPC85_POPE15,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC90_CHOL10,POPC90_CHOL10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC90_DIPC10,POPC90_DIPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC90_DOPC10,POPC90_DOPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC90_DOPE10,POPC90_DOPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC90_DOPS10,POPC90_DOPS10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC90_DPPC10,POPC90_DPPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC90_DPPE10,POPC90_DPPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC90_POPE10,POPC90_POPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC90_POPS10,POPC90_POPS10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC92_DOPS8,POPC92_DOPS8,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC92_POPS8,POPC92_POPS8,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC94_DOPS6,POPC94_DOPS6,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC94_POPS6,POPC94_POPS6,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC95_CHOL5,POPC95_CHOL5,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC95_DOPE5,POPC95_DOPE5,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC95_DPPE5,POPC95_DPPE5,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC95_POPE5,POPC95_POPE5,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC96_DOPS4,POPC96_DOPS4,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC96_POPS4,POPC96_POPS4,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC98_DOPS2,POPC98_DOPS2,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
POPC98_POPS2,POPC98_POPS2,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/membrane_only,legacy_no_manifest,true
